File: durak-api
Build ID: 3f6237606f6f1cc77e5dab4717b939f022a7c3ca
Type: cpu
Time: 2026-02-19 16:51:13 MSK
Duration: 25s, Total samples = 55.63s (222.51%)
Showing nodes accounting for 45.12s, 81.11% of 55.63s total
Dropped 754 nodes (cum <= 0.28s)
      flat  flat%   sum%        cum   cum%
     0.03s 0.054% 79.85%      0.83s  1.49%  runtime.stopm
     0.03s 0.054% 79.90%     28.75s 51.68%  syscall.Syscall
     0.03s 0.054% 79.96%      1.92s  3.45%  syscall.read
     0.03s 0.054% 80.01%      1.24s  2.23%  syscall.recvfrom
     0.02s 0.036% 80.05%     13.72s 24.66%  durakonline/backend/internal/ratelimit.(*Service).Allow.(*Client).TxPipeline.func1
     0.02s 0.036% 80.08%      2.08s  3.74%  durakonline/backend/internal/ws.(*Handler).sendError
     0.02s 0.036% 80.12%      0.37s  0.67%  github.com/gorilla/websocket.(*Conn).write.func1
     0.02s 0.036% 80.15%     11.13s 20.01%  github.com/redis/go-redis/v9.(*baseClient).generalProcessPipeline.func1
     0.02s 0.036% 80.19%      2.73s  4.91%  github.com/redis/go-redis/v9.(*baseClient).txPipelineProcessCmds.func2
     0.02s 0.036% 80.23%     14.03s 25.22%  github.com/redis/go-redis/v9.(*baseClient).withConn
     0.02s 0.036% 80.26%      0.29s  0.52%  github.com/redis/go-redis/v9/internal/proto.(*Reader).ReadString
     0.02s 0.036% 80.30%      2.31s  4.15%  github.com/redis/go-redis/v9/push.(*Processor).ProcessPendingNotifications
     0.02s 0.036% 80.33%      0.96s  1.73%  internal/poll.setDeadlineImpl
     0.02s 0.036% 80.37%      1.18s  2.12%  internal/runtime/syscall/linux.EpollWait
     0.02s 0.036% 80.41%      2.20s  3.95%  net.(*conn).Read
     0.02s 0.036% 80.44%      1.08s  1.94%  runtime.futexsleep
     0.02s 0.036% 80.48%      4.17s  7.50%  runtime.futexwakeup
     0.02s 0.036% 80.51%      0.32s  0.58%  runtime.mallocgcSmallNoscan
     0.02s 0.036% 80.55%      1.26s  2.26%  syscall.Recvfrom
     0.01s 0.018% 80.57%     44.73s 80.41%  durakonline/backend/internal/ws.(*Handler).ServeWS
     0.01s 0.018% 80.59%     30.23s 54.34%  durakonline/backend/internal/ws.(*Handler).handleClientEvent
     0.01s 0.018% 80.60%      1.14s  2.05%  encoding/json.Marshal
     0.01s 0.018% 80.62%      0.49s  0.88%  github.com/gorilla/websocket.(*Conn).ReadMessage
     0.01s 0.018% 80.64%     13.74s 24.70%  github.com/redis/go-redis/v9.(*Pipeline).Exec
     0.01s 0.018% 80.66%     13.47s 24.21%  github.com/redis/go-redis/v9.(*baseClient).generalProcessPipeline
     0.01s 0.018% 80.68%      1.36s  2.44%  github.com/redis/go-redis/v9.(*baseClient).getConn
     0.01s 0.018% 80.69%      1.59s  2.86%  github.com/redis/go-redis/v9.(*baseClient).processPushNotifications
     0.01s 0.018% 80.71%      1.09s  1.96%  github.com/redis/go-redis/v9.(*baseClient).releaseConn
     0.01s 0.018% 80.73%     10.76s 19.34%  github.com/redis/go-redis/v9.(*baseClient).txPipelineProcessCmds
     0.01s 0.018% 80.75%      0.73s  1.31%  github.com/redis/go-redis/v9.(*baseClient).txPipelineProcessCmds.func1
     0.01s 0.018% 80.77%      1.10s  1.98%  github.com/redis/go-redis/v9.(*baseClient).withConn.func1
     0.01s 0.018% 80.78%      1.58s  2.84%  github.com/redis/go-redis/v9/internal/pool.(*Conn).MaybeHasData
     0.01s 0.018% 80.80%      7.72s 13.88%  github.com/redis/go-redis/v9/internal/pool.(*Conn).WithWriter
     0.01s 0.018% 80.82%      1.33s  2.39%  github.com/redis/go-redis/v9/internal/pool.(*ConnPool).Get
     0.01s 0.018% 80.84%      1.32s  2.37%  github.com/redis/go-redis/v9/internal/pool.(*ConnPool).getConn
     0.01s 0.018% 80.86%      0.59s  1.06%  net.(*conn).SetWriteDeadline
     0.01s 0.018% 80.87%      2.17s  3.90%  net.(*netFD).Read
     0.01s 0.018% 80.89%     27.49s 49.42%  net.(*netFD).Write
     0.01s 0.018% 80.91%      0.35s  0.63%  runtime.(*unwinder).next
     0.01s 0.018% 80.93%      0.34s  0.61%  runtime.chansend1
     0.01s 0.018% 80.95%      0.31s  0.56%  runtime.entersyscall
     0.01s 0.018% 80.96%      2.80s  5.03%  runtime.injectglist
     0.01s 0.018% 80.98%      0.70s  1.26%  runtime.mPark (inline)
     0.01s 0.018% 81.00%      8.36s 15.03%  runtime.park_m
     0.01s 0.018% 81.02%      0.34s  0.61%  runtime.scanframeworker
     0.01s 0.018% 81.04%      2.37s  4.26%  runtime.startm
     0.01s 0.018% 81.05%      1.83s  3.29%  runtime.systemstack
     0.01s 0.018% 81.07%      1.86s  3.34%  runtime.unlock2Wake
     0.01s 0.018% 81.09%      0.73s  1.31%  runtime.wakep
     0.01s 0.018% 81.11%      1.93s  3.47%  syscall.Read (inline)
         0     0% 81.11%      0.32s  0.58%  durakonline/backend/internal/rooms.(*Repository).Get
         0     0% 81.11%      0.32s  0.58%  durakonline/backend/internal/rooms.(*Service).Get (inline)
